latitude,longitude,date_local,aqi
40.112221999999996,-75.309167,2017-07-11,25
40.112221999999996,-75.309167,2017-07-02,14
40.112221999999996,-75.309167,2017-07-04,28
40.375644,-80.169942999999989,2017-07-06,52
40.375644,-80.169942999999989,2017-07-18,58
40.375644,-80.169942999999989,2017-07-27,56
40.375644,-80.169942999999989,2017-07-03,41
40.375644,-80.169942999999989,2017-07-21,55
40.375644,-80.169942999999989,2017-07-30,41
40.375644,-80.169942999999989,2017-07-24,33
40.375644,-80.169942999999989,2017-07-09,38
40.375644,-80.169942999999989,2017-07-12,58
40.375644,-80.169942999999989,2017-07-15,40
40.043833,-76.112400000000008,2017-07-18,58
40.043833,-76.112400000000008,2017-07-02,43
40.043833,-76.112400000000008,2017-07-27,58
40.043833,-76.112400000000008,2017-07-16,50
40.043833,-76.112400000000008,2017-07-29,31
40.043833,-76.112400000000008,2017-07-26,41
40.043833,-76.112400000000008,2017-07-03,56
40.043833,-76.112400000000008,2017-07-04,44
40.043833,-76.112400000000008,2017-07-12,55
40.043833,-76.112400000000008,2017-07-20,69
40.043833,-76.112400000000008,2017-07-27,52
40.043833,-76.112400000000008,2017-07-26,22
40.043833,-76.112400000000008,2017-07-25,16
40.043833,-76.112400000000008,2017-07-15,30
40.043833,-76.112400000000008,2017-07-10,40
40.043833,-76.112400000000008,2017-07-03,47
40.043833,-76.112400000000008,2017-07-06,31
40.043833,-76.112400000000008,2017-07-07,18
40.043833,-76.112400000000008,2017-07-07,29
40.043833,-76.112400000000008,2017-07-24,33
40.043833,-76.112400000000008,2017-07-04,58
40.043833,-76.112400000000008,2017-07-08,43
40.043833,-76.112400000000008,2017-07-30,24
40.043833,-76.112400000000008,2017-07-05,62
40.043833,-76.112400000000008,2017-07-23,30
40.043833,-76.112400000000008,2017-07-17,37
40.043833,-76.112400000000008,2017-07-24,23
40.043833,-76.112400000000008,2017-07-02,33
40.043833,-76.112400000000008,2017-07-21,64
40.043833,-76.112400000000008,2017-07-23,42
40.043833,-76.112400000000008,2017-07-15,48
40.043833,-76.112400000000008,2017-07-17,53
40.043833,-76.112400000000008,2017-07-20,78
40.043833,-76.112400000000008,2017-07-06,52
40.043833,-76.112400000000008,2017-07-25,25
40.043833,-76.112400000000008,2017-07-08,29
40.043833,-76.112400000000008,2017-07-29,24
40.043833,-76.112400000000008,2017-07-14,29
40.043833,-76.112400000000008,2017-07-30,21
40.043833,-76.112400000000008,2017-07-05,45
40.043833,-76.112400000000008,2017-07-13,54
40.043833,-76.112400000000008,2017-07-18,45
40.043833,-76.112400000000008,2017-07-11,31
40.043833,-76.112400000000008,2017-07-19,65
40.043833,-76.112400000000008,2017-07-10,55
40.043833,-76.112400000000008,2017-07-12,59
40.043833,-76.112400000000008,2017-07-11,53
40.043833,-76.112400000000008,2017-07-22,57
40.043833,-76.112400000000008,2017-07-16,34
40.043833,-76.112400000000008,2017-07-19,56
40.043833,-76.112400000000008,2017-07-28,58
40.043833,-76.112400000000008,2017-07-28,66
40.043833,-76.112400000000008,2017-07-13,61
40.043833,-76.112400000000008,2017-07-31,52
40.043833,-76.112400000000008,2017-07-09,40
40.043833,-76.112400000000008,2017-07-14,41
40.043833,-76.112400000000008,2017-07-21,57
40.043833,-76.112400000000008,2017-07-09,28
40.043833,-76.112400000000008,2017-07-22,52
40.246528,-77.18675,2017-07-06,38
40.246528,-77.18675,2017-07-31,34
40.246528,-77.18675,2017-07-19,52
40.246528,-77.18675,2017-07-27,38
40.246528,-77.18675,2017-07-30,15
40.246528,-77.18675,2017-07-29,13
40.246528,-77.18675,2017-07-05,42
40.246528,-77.18675,2017-07-25,7
40.246528,-77.18675,2017-07-15,23
40.246528,-77.18675,2017-07-03,39
40.246528,-77.18675,2017-07-07,27
40.246528,-77.18675,2017-07-10,33
40.246528,-77.18675,2017-07-17,45
40.246528,-77.18675,2017-07-20,61
40.246528,-77.18675,2017-07-23,30
40.246528,-77.18675,2017-07-16,36
40.246528,-77.18675,2017-07-26,15
40.246528,-77.18675,2017-07-04,38
40.246528,-77.18675,2017-07-18,46
40.246528,-77.18675,2017-07-02,33
40.246528,-77.18675,2017-07-28,53
40.246528,-77.18675,2017-07-21,49
40.246528,-77.18675,2017-07-08,25
40.246528,-77.18675,2017-07-09,24
40.246528,-77.18675,2017-07-12,54
40.246528,-77.18675,2017-07-13,53
40.246528,-77.18675,2017-07-24,25
40.246528,-77.18675,2017-07-11,22
40.246528,-77.18675,2017-07-14,28
40.246528,-77.18675,2017-07-22,45
39.965278,-76.699444,2017-07-26,28
39.965278,-76.699444,2017-07-31,52
39.965278,-76.699444,2017-07-04,53
39.965278,-76.699444,2017-07-06,33
39.965278,-76.699444,2017-07-09,35
39.965278,-76.699444,2017-07-03,44
39.965278,-76.699444,2017-07-05,55
39.965278,-76.699444,2017-07-02,41
39.965278,-76.699444,2017-07-30,29
39.965278,-76.699444,2017-07-28,76
39.965278,-76.699444,2017-07-23,39
39.965278,-76.699444,2017-07-22,52
39.965278,-76.699444,2017-07-27,50
39.965278,-76.699444,2017-07-24,30
39.965278,-76.699444,2017-07-25,20
39.965278,-76.699444,2017-07-08,33
39.965278,-76.699444,2017-07-29,30
39.965278,-76.699444,2017-07-07,33
39.965278,-76.699444,2017-07-21,52
40.747796,-80.316442,2017-07-11,42
40.747796,-80.316442,2017-07-16,58
40.747796,-80.316442,2017-07-21,45
40.747796,-80.316442,2017-07-11,38
40.747796,-80.316442,2017-07-27,48
40.747796,-80.316442,2017-07-14,61
40.747796,-80.316442,2017-07-12,58
40.747796,-80.316442,2017-07-05,58
40.747796,-80.316442,2017-07-18,61
40.747796,-80.316442,2017-07-08,31
40.747796,-80.316442,2017-07-23,32
40.747796,-80.316442,2017-07-13,67
40.747796,-80.316442,2017-07-29,29
40.747796,-80.316442,2017-07-10,34
40.747796,-80.316442,2017-07-28,46
40.747796,-80.316442,2017-07-26,30
40.747796,-80.316442,2017-07-06,53
40.747796,-80.316442,2017-07-09,37
40.747796,-80.316442,2017-07-27,54
40.747796,-80.316442,2017-07-25,25
40.747796,-80.316442,2017-07-07,30
40.747796,-80.316442,2017-07-24,25
40.747796,-80.316442,2017-07-26,43
40.747796,-80.316442,2017-07-10,43
40.747796,-80.316442,2017-07-29,27
40.747796,-80.316442,2017-07-06,54
40.747796,-80.316442,2017-07-18,50
40.747796,-80.316442,2017-07-22,40
40.747796,-80.316442,2017-07-04,53
40.747796,-80.316442,2017-07-05,51
40.747796,-80.316442,2017-07-20,59
