latitude,longitude,date_local,aqi
39.835556,-75.3725,2017-05-30,20
39.835556,-75.3725,2017-05-03,13
39.835556,-75.3725,2017-05-26,10
39.835556,-75.3725,2017-05-08,23
39.835556,-75.3725,2017-05-27,10
39.835556,-75.3725,2017-05-06,8
39.835556,-75.3725,2017-05-04,44
39.835556,-75.3725,2017-05-11,40
39.835556,-75.3725,2017-05-05,15
39.835556,-75.3725,2017-05-25,24
39.835556,-75.3725,2017-05-09,31
39.835556,-75.3725,2017-05-25,35
39.835556,-75.3725,2017-05-23,37
39.835556,-75.3725,2017-05-19,49
39.835556,-75.3725,2017-05-31,29
39.835556,-75.3725,2017-05-07,12
39.835556,-75.3725,2017-05-28,29
39.835556,-75.3725,2017-05-07,12
39.835556,-75.3725,2017-05-29,18
39.835556,-75.3725,2017-05-31,23
39.835556,-75.3725,2017-05-02,15
39.835556,-75.3725,2017-05-10,39
39.835556,-75.3725,2017-05-24,26
39.835556,-75.3725,2017-05-13,34
40.309722,-78.915,2017-05-13,23
40.309722,-78.915,2017-05-15,19
40.309722,-78.915,2017-05-29,21
40.309722,-78.915,2017-05-20,29
40.309722,-78.915,2017-05-16,37
40.309722,-78.915,2017-05-06,14
40.309722,-78.915,2017-05-07,21
40.309722,-78.915,2017-05-22,25
40.309722,-78.915,2017-05-24,24
40.309722,-78.915,2017-05-19,35
40.309722,-78.915,2017-05-21,36
40.309722,-78.915,2017-05-30,34
40.309722,-78.915,2017-05-31,22
40.309722,-78.915,2017-05-18,35
40.309722,-78.915,2017-05-14,41
40.309722,-78.915,2017-05-11,38
40.309722,-78.915,2017-05-05,4
40.309722,-78.915,2017-05-23,30
40.309722,-78.915,2017-05-03,24
40.309722,-78.915,2017-05-27,30
40.309722,-78.915,2017-05-26,16
40.309722,-78.915,2017-05-04,39
40.309722,-78.915,2017-05-09,35
40.309722,-78.915,2017-05-17,44
40.309722,-78.915,2017-05-08,28
40.309722,-78.915,2017-05-12,25
40.309722,-78.915,2017-05-28,28
40.309722,-78.915,2017-05-02,22
40.309722,-78.915,2017-05-10,44
40.309722,-78.915,2017-05-25,4
40.43743,-79.863571999999991,2017-05-24,26
40.43743,-79.863571999999991,2017-05-17,65
40.43743,-79.863571999999991,2017-05-03,21
40.43743,-79.863571999999991,2017-05-09,43
40.43743,-79.863571999999991,2017-05-04,26
40.43743,-79.863571999999991,2017-05-22,31
40.43743,-79.863571999999991,2017-05-28,56
40.43743,-79.863571999999991,2017-05-26,26
40.43743,-79.863571999999991,2017-05-11,40
40.43743,-79.863571999999991,2017-05-21,31
40.43743,-79.863571999999991,2017-05-07,18
40.43743,-79.863571999999991,2017-05-29,33
40.43743,-79.863571999999991,2017-05-02,15
40.43743,-79.863571999999991,2017-05-08,19
40.43743,-79.863571999999991,2017-05-25,15
40.43743,-79.863571999999991,2017-05-19,47
40.43743,-79.863571999999991,2017-05-05,13
40.43743,-79.863571999999991,2017-05-06,13
40.43743,-79.863571999999991,2017-05-15,19
40.43743,-79.863571999999991,2017-05-14,44
40.43743,-79.863571999999991,2017-05-23,33
40.43743,-79.863571999999991,2017-05-13,28
40.43743,-79.863571999999991,2017-05-16,55
40.43743,-79.863571999999991,2017-05-31,43
40.43743,-79.863571999999991,2017-05-18,66
40.43743,-79.863571999999991,2017-05-12,20
40.43743,-79.863571999999991,2017-05-27,46
40.43743,-79.863571999999991,2017-05-20,40
40.43743,-79.863571999999991,2017-05-30,46
40.43743,-79.863571999999991,2017-05-10,47
40.617488,-79.72766399999999,2017-05-31,36
40.617488,-79.72766399999999,2017-05-13,31
40.617488,-79.72766399999999,2017-05-28,55
40.617488,-79.72766399999999,2017-05-16,56
40.617488,-79.72766399999999,2017-05-22,30
40.617488,-79.72766399999999,2017-05-19,48
40.617488,-79.72766399999999,2017-05-25,20
40.617488,-79.72766399999999,2017-05-07,20
40.617488,-79.72766399999999,2017-05-10,48
40.617488,-79.72766399999999,2017-05-04,35
40.054171,-74.985165999999992,2017-05-02,12
40.054171,-74.985165999999992,2017-05-19,34
40.054171,-74.985165999999992,2017-05-31,12
40.054171,-74.985165999999992,2017-05-18,50
40.054171,-74.985165999999992,2017-05-24,15
40.054171,-74.985165999999992,2017-05-16,15
40.054171,-74.985165999999992,2017-05-14,11
40.054171,-74.985165999999992,2017-05-07,9
40.054171,-74.985165999999992,2017-05-11,27
40.054171,-74.985165999999992,2017-05-12,12
40.054171,-74.985165999999992,2017-05-26,6
40.054171,-74.985165999999992,2017-05-15,4
40.054171,-74.985165999999992,2017-05-21,13
40.054171,-74.985165999999992,2017-05-28,20
40.054171,-74.985165999999992,2017-05-09,20
40.054171,-74.985165999999992,2017-05-08,21
40.054171,-74.985165999999992,2017-05-03,17
40.054171,-74.985165999999992,2017-05-05,3
40.054171,-74.985165999999992,2017-05-27,5
40.054171,-74.985165999999992,2017-05-17,48
40.054171,-74.985165999999992,2017-05-23,28
40.054171,-74.985165999999992,2017-05-20,12
40.054171,-74.985165999999992,2017-05-10,35
40.054171,-74.985165999999992,2017-05-06,9
40.054171,-74.985165999999992,2017-05-30,4
40.054171,-74.985165999999992,2017-05-04,15
40.112221999999996,-75.309167,2017-05-10,36
40.112221999999996,-75.309167,2017-05-12,29
40.112221999999996,-75.309167,2017-05-11,38
40.112221999999996,-75.309167,2017-05-06,23
40.112221999999996,-75.309167,2017-05-08,29
40.112221999999996,-75.309167,2017-05-16,24
40.112221999999996,-75.309167,2017-05-14,30
40.112221999999996,-75.309167,2017-05-07,27
40.112221999999996,-75.309167,2017-05-05,19
40.112221999999996,-75.309167,2017-05-19,18
40.112221999999996,-75.309167,2017-05-09,32
40.112221999999996,-75.309167,2017-05-15,19
40.112221999999996,-75.309167,2017-05-03,23
40.112221999999996,-75.309167,2017-05-17,36
40.112221999999996,-75.309167,2017-05-22,11
40.112221999999996,-75.309167,2017-05-23,31
40.112221999999996,-75.309167,2017-05-18,35
40.112221999999996,-75.309167,2017-05-20,20
40.112221999999996,-75.309167,2017-05-21,28
40.112221999999996,-75.309167,2017-05-02,30
40.112221999999996,-75.309167,2017-05-13,17
40.112221999999996,-75.309167,2017-05-04,27
40.375644,-80.169942999999989,2017-05-28,52
40.375644,-80.169942999999989,2017-05-19,50
40.375644,-80.169942999999989,2017-05-13,30
40.375644,-80.169942999999989,2017-05-07,20
40.375644,-80.169942999999989,2017-05-31,30
40.375644,-80.169942999999989,2017-05-16,48
40.375644,-80.169942999999989,2017-05-10,41
40.375644,-80.169942999999989,2017-05-22,25
40.375644,-80.169942999999989,2017-05-04,35
40.375644,-80.169942999999989,2017-05-25,18
40.043833,-76.112400000000008,2017-05-13,16
40.043833,-76.112400000000008,2017-05-23,54
40.043833,-76.112400000000008,2017-05-22,39
40.043833,-76.112400000000008,2017-05-17,60
40.043833,-76.112400000000008,2017-05-29,34
40.043833,-76.112400000000008,2017-05-16,43
40.043833,-76.112400000000008,2017-05-21,20
40.043833,-76.112400000000008,2017-05-14,20
40.043833,-76.112400000000008,2017-05-28,40
40.043833,-76.112400000000008,2017-05-15,15
40.043833,-76.112400000000008,2017-05-25,17
40.043833,-76.112400000000008,2017-05-24,55
40.043833,-76.112400000000008,2017-05-14,32
40.043833,-76.112400000000008,2017-05-26,14
40.043833,-76.112400000000008,2017-05-09,28
40.043833,-76.112400000000008,2017-05-16,30
40.043833,-76.112400000000008,2017-05-27,34
40.043833,-76.112400000000008,2017-05-18,58
40.043833,-76.112400000000008,2017-05-10,55
40.043833,-76.112400000000008,2017-05-02,21
40.043833,-76.112400000000008,2017-05-17,51
40.043833,-76.112400000000008,2017-05-24,27
40.043833,-76.112400000000008,2017-05-10,62
40.043833,-76.112400000000008,2017-05-26,25
40.043833,-76.112400000000008,2017-05-15,18
40.043833,-76.112400000000008,2017-05-19,54
40.043833,-76.112400000000008,2017-05-31,38
40.043833,-76.112400000000008,2017-05-03,17
40.043833,-76.112400000000008,2017-05-30,20
40.043833,-76.112400000000008,2017-05-22,30
40.043833,-76.112400000000008,2017-05-20,19
40.043833,-76.112400000000008,2017-05-06,42
40.043833,-76.112400000000008,2017-05-08,15
40.043833,-76.112400000000008,2017-05-13,7
40.043833,-76.112400000000008,2017-05-30,37
40.043833,-76.112400000000008,2017-05-20,33
40.043833,-76.112400000000008,2017-05-27,44
40.043833,-76.112400000000008,2017-05-18,63
40.043833,-76.112400000000008,2017-05-29,24
40.043833,-76.112400000000008,2017-05-05,20
40.043833,-76.112400000000008,2017-05-25,12
40.043833,-76.112400000000008,2017-05-04,24
40.043833,-76.112400000000008,2017-05-31,24
40.043833,-76.112400000000008,2017-05-07,13
40.043833,-76.112400000000008,2017-05-12,43
40.043833,-76.112400000000008,2017-05-03,6
40.043833,-76.112400000000008,2017-05-02,8
40.043833,-76.112400000000008,2017-05-11,53
40.043833,-76.112400000000008,2017-05-21,33
40.043833,-76.112400000000008,2017-05-28,54
40.043833,-76.112400000000008,2017-05-09,34
40.043833,-76.112400000000008,2017-05-12,31
40.043833,-76.112400000000008,2017-05-11,51
40.043833,-76.112400000000008,2017-05-23,42
40.043833,-76.112400000000008,2017-05-19,48
40.246528,-77.18675,2017-05-29,44
40.246528,-77.18675,2017-05-15,10
40.246528,-77.18675,2017-05-03,10
40.246528,-77.18675,2017-05-17,51
40.246528,-77.18675,2017-05-22,30
40.246528,-77.18675,2017-05-04,18
40.246528,-77.18675,2017-05-11,45
40.246528,-77.18675,2017-05-23,39
40.246528,-77.18675,2017-05-13,17
40.246528,-77.18675,2017-05-22,30
40.246528,-77.18675,2017-05-03,16
40.246528,-77.18675,2017-05-02,14
40.246528,-77.18675,2017-05-06,13
40.246528,-77.18675,2017-05-27,28
40.246528,-77.18675,2017-05-02,16
40.246528,-77.18675,2017-05-05,17
40.246528,-77.18675,2017-05-30,15
40.246528,-77.18675,2017-05-14,14
40.246528,-77.18675,2017-05-09,30
40.246528,-77.18675,2017-05-27,34
40.246528,-77.18675,2017-05-20,29
40.246528,-77.18675,2017-05-10,26
40.246528,-77.18675,2017-05-12,35
40.246528,-77.18675,2017-05-18,43
40.246528,-77.18675,2017-05-08,10
40.246528,-77.18675,2017-05-10,19
40.246528,-77.18675,2017-05-20,20
40.246528,-77.18675,2017-05-12,34
40.246528,-77.18675,2017-05-18,47
40.246528,-77.18675,2017-05-26,13
40.246528,-77.18675,2017-05-07,10
40.246528,-77.18675,2017-05-14,21
40.246528,-77.18675,2017-05-05,19
40.246528,-77.18675,2017-05-07,7
40.246528,-77.18675,2017-05-04,28
40.246528,-77.18675,2017-05-25,10
40.246528,-77.18675,2017-05-23,30
40.246528,-77.18675,2017-05-25,10
40.246528,-77.18675,2017-05-13,10
40.246528,-77.18675,2017-05-21,21
40.246528,-77.18675,2017-05-24,30
40.246528,-77.18675,2017-05-31,39
40.246528,-77.18675,2017-05-21,37
40.246528,-77.18675,2017-05-28,55
40.246528,-77.18675,2017-05-30,37
40.246528,-77.18675,2017-05-19,36
40.246528,-77.18675,2017-05-26,14
40.246528,-77.18675,2017-05-08,13
40.246528,-77.18675,2017-05-24,49
40.246528,-77.18675,2017-05-29,26
40.246528,-77.18675,2017-05-19,42
40.246528,-77.18675,2017-05-09,26
40.246528,-77.18675,2017-05-28,43
40.246528,-77.18675,2017-05-06,14
40.246528,-77.18675,2017-05-16,21
40.246528,-77.18675,2017-05-31,20
39.965278,-76.699444,2017-05-18,57
39.965278,-76.699444,2017-05-26,27
39.965278,-76.699444,2017-05-22,24
39.965278,-76.699444,2017-05-08,12
39.965278,-76.699444,2017-05-23,52
39.965278,-76.699444,2017-05-14,27
39.965278,-76.699444,2017-05-30,20
39.965278,-76.699444,2017-05-03,11
39.965278,-76.699444,2017-05-02,17
39.965278,-76.699444,2017-05-12,28
39.965278,-76.699444,2017-05-10,35
39.965278,-76.699444,2017-05-19,53
39.965278,-76.699444,2017-05-20,33
39.965278,-76.699444,2017-05-31,33
39.965278,-76.699444,2017-05-13,10
39.965278,-76.699444,2017-05-11,49
39.965278,-76.699444,2017-05-16,35
39.965278,-76.699444,2017-05-09,29
39.965278,-76.699444,2017-05-29,33
39.965278,-76.699444,2017-05-05,14
39.965278,-76.699444,2017-05-27,38
39.965278,-76.699444,2017-05-17,58
39.965278,-76.699444,2017-05-07,13
39.965278,-76.699444,2017-05-15,10
39.965278,-76.699444,2017-05-25,20
39.965278,-76.699444,2017-05-28,50
39.965278,-76.699444,2017-05-24,59
39.965278,-76.699444,2017-05-06,13
39.965278,-76.699444,2017-05-04,16
39.965278,-76.699444,2017-05-21,26
40.747796,-80.316442,2017-05-28,70
40.747796,-80.316442,2017-05-10,40
40.747796,-80.316442,2017-05-18,73
40.747796,-80.316442,2017-05-22,38
40.747796,-80.316442,2017-05-16,59
40.747796,-80.316442,2017-05-15,34
40.747796,-80.316442,2017-05-14,35
40.747796,-80.316442,2017-05-06,7
40.747796,-80.316442,2017-05-30,35
40.747796,-80.316442,2017-05-15,13
40.747796,-80.316442,2017-05-10,27
40.747796,-80.316442,2017-05-08,16
40.747796,-80.316442,2017-05-05,15
40.747796,-80.316442,2017-05-14,54
40.747796,-80.316442,2017-05-12,43
40.747796,-80.316442,2017-05-23,51
40.747796,-80.316442,2017-05-09,35
40.747796,-80.316442,2017-05-17,76
40.747796,-80.316442,2017-05-02,11
40.747796,-80.316442,2017-05-28,52
40.747796,-80.316442,2017-05-24,23
40.747796,-80.316442,2017-05-16,49
40.747796,-80.316442,2017-05-07,12
40.747796,-80.316442,2017-05-13,45
40.747796,-80.316442,2017-05-20,53
40.747796,-80.316442,2017-05-07,19
40.747796,-80.316442,2017-05-27,57
40.747796,-80.316442,2017-05-03,14
40.747796,-80.316442,2017-05-27,40
40.747796,-80.316442,2017-05-11,32
40.747796,-80.316442,2017-05-19,35
40.747796,-80.316442,2017-05-09,22
40.747796,-80.316442,2017-05-26,19
40.747796,-80.316442,2017-05-12,27
40.747796,-80.316442,2017-05-13,30
40.747796,-80.316442,2017-05-11,46
40.747796,-80.316442,2017-05-21,48
40.747796,-80.316442,2017-05-08,27
40.747796,-80.316442,2017-05-06,13
40.747796,-80.316442,2017-05-24,43
40.747796,-80.316442,2017-05-29,42
40.747796,-80.316442,2017-05-26,35
40.747796,-80.316442,2017-05-19,54
40.747796,-80.316442,2017-05-29,22
40.747796,-80.316442,2017-05-05,9
40.747796,-80.316442,2017-05-21,26
40.747796,-80.316442,2017-05-25,12
40.747796,-80.316442,2017-05-20,36
40.747796,-80.316442,2017-05-30,52
40.747796,-80.316442,2017-05-04,35
40.747796,-80.316442,2017-05-31,56
40.747796,-80.316442,2017-05-03,28
40.747796,-80.316442,2017-05-25,24
40.747796,-80.316442,2017-05-02,25
40.747796,-80.316442,2017-05-18,59
40.747796,-80.316442,2017-05-31,37
40.747796,-80.316442,2017-05-23,29
40.747796,-80.316442,2017-05-17,61
40.747796,-80.316442,2017-05-04,24
40.337328,-76.38344699999999,2017-05-03,4
40.337328,-76.38344699999999,2017-05-23,19
40.337328,-76.38344699999999,2017-05-10,46
40.337328,-76.38344699999999,2017-05-15,25
40.337328,-76.38344699999999,2017-05-06,16
40.337328,-76.38344699999999,2017-05-22,32
40.337328,-76.38344699999999,2017-05-04,31
40.337328,-76.38344699999999,2017-05-26,13
40.337328,-76.38344699999999,2017-05-09,21
40.337328,-76.38344699999999,2017-05-08,15
40.337328,-76.38344699999999,2017-05-16,19
40.337328,-76.38344699999999,2017-05-17,47
40.337328,-76.38344699999999,2017-05-20,16
40.337328,-76.38344699999999,2017-05-14,6
40.337328,-76.38344699999999,2017-05-31,8
40.337328,-76.38344699999999,2017-05-31,20
40.337328,-76.38344699999999,2017-05-07,10
40.337328,-76.38344699999999,2017-05-21,24
40.337328,-76.38344699999999,2017-05-18,53
40.337328,-76.38344699999999,2017-05-28,52
40.337328,-76.38344699999999,2017-05-20,24
40.337328,-76.38344699999999,2017-05-27,29
40.337328,-76.38344699999999,2017-05-13,8
40.337328,-76.38344699999999,2017-05-08,8
40.337328,-76.38344699999999,2017-05-28,28
